project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 238B,#09:1,1,"$63,800 - $172,900"
Important notes,2-room Flexi,Indian/ Other Races,Blk 238B,#09:1,1,"$63,800 - $172,900"
Important notes,2-room Flexi,Malay,Blk 238B,#09:1,1,"$63,800 - $172,900"
Important notes,3-room,Chinese,Blk 237B,#06:1,1,"$163,000 - $343,100"
Important notes,3-room,Indian/ Other Races,Blk 237B,#06:1,1,"$163,000 - $343,100"
Important notes,3-room,Malay,Blk 237B,#06:1,1,"$163,000 - $343,100"
