flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 207D,Chinese,#04:1; #06:1,"$123,800 - $373,700",Important notes
2-room Flexi,Blk 207D,Indian/ Other Races,#04:1; #06:1,"$123,800 - $373,700",Important notes
2-room Flexi,Blk 207D,Malay,#04:1; #06:1,"$123,800 - $373,700",Important notes
