project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,4-room,Chinese,Blk 625B,#05:1,1,"$349,000 - $631,800"
Important notes,4-room,Indian/ Other Races,Blk 625B,#05:1,1,"$349,000 - $631,800"
Important notes,4-room,Malay,Blk 625B,#05:1,1,"$349,000 - $631,800"
Important notes,5-room,Chinese,Blk 619A,#16:1,1,"$611,000 - $790,300"
Important notes,5-room,Indian/ Other Races,Blk 619A,#16:1,1,"$611,000 - $790,300"
Important notes,5-room,Malay,Blk 619A,#16:1,1,"$611,000 - $790,300"
