project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 333C, Blk 333D",#09:1; #14:1,2,"$48,900 - $119,100"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 333C, Blk 333D",#09:1; #14:1,2,"$48,900 - $119,100"
Important notes,2-room Flexi,Malay,"Blk 333C, Blk 333D",#09:1; #14:1,2,"$48,900 - $119,100"
