project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,"Blk 132A, Blk 134A, Blk 135A, Blk 136A, Blk 137A",#02:7; #03:4; #04:9; #05:5; #06:4; #07:4; #08:4; #09:4; #10:4; #12:2; #13:3; #14:6; #15:3; #16:5; #17:3; #18:1; #19:2; #20:1; #21:3; #22:2; #23:2; #24:3; #25:2; #26:1; #27:2; #29:1; #31:3; #32:1; #33:3; #34:3; #35:2; #36:3; #37:1; #38:4; #39:2; #40:2; #41:1; #42:1; #43:3; #44:2; #45:2; #46:3; #47:2,125,"$431,900 - $564,500"
Important notes,3-room,Indian/ Other Races,"Blk 132A, Blk 134A, Blk 135A, Blk 136A, Blk 137A",#02:7; #03:4; #04:9; #05:5; #06:4; #07:4; #08:4; #09:4; #10:4; #12:2; #13:3; #14:6; #15:3; #16:5; #17:3; #18:1; #19:2; #20:1; #21:3; #22:2; #23:2; #24:3; #25:2; #26:1; #27:2; #29:1; #31:3; #32:1; #33:3; #34:3; #35:2; #36:3; #37:1; #38:4; #39:2; #40:2; #41:1; #42:1; #43:3; #44:2; #45:2; #46:3; #47:2,125,"$431,900 - $564,500"
Important notes,3-room,Malay,"Blk 132A, Blk 134A, Blk 135A, Blk 136A, Blk 137A",#02:7; #03:4; #04:9; #05:5; #06:4; #07:4; #08:4; #09:4; #10:4; #12:2; #13:3; #14:6; #15:3; #16:5; #17:3; #18:1; #19:2; #20:1; #21:3; #22:2; #23:2; #24:3; #25:2; #26:1; #27:2; #29:1; #31:3; #32:1; #33:3; #34:3; #35:2; #36:3; #37:1; #38:4; #39:2; #40:2; #41:1; #42:1; #43:3; #44:2; #45:2; #46:3; #47:2,125,"$431,900 - $564,500"
Important notes,4-room,Chinese,"Blk 132A, Blk 134A, Blk 135A, Blk 136A, Blk 137A",#02:22; #03:22; #04:22; #05:14; #06:8; #07:4; #08:7; #09:5; #10:2; #12:5; #13:2; #14:3; #15:1; #16:4; #17:2; #18:1; #19:5; #20:4; #21:4; #22:4; #23:1; #24:7; #25:4; #26:5; #27:5; #28:1; #29:2; #31:4; #32:2; #33:2; #34:2; #35:1; #36:1; #37:1; #38:4; #39:1; #40:3; #42:5; #43:1; #44:2; #45:4; #46:1; #47:1; #48:1,202,"$640,900 - $843,000"
Important notes,4-room,Indian/ Other Races,"Blk 132A, Blk 134A, Blk 135A, Blk 136A, Blk 137A",#02:22; #03:22; #04:22; #05:14; #06:8; #07:4; #08:7; #09:5; #10:2; #12:5; #13:2; #14:3; #15:1; #16:4; #17:2; #18:1; #19:5; #20:4; #21:4; #22:4; #23:1; #24:7; #25:4; #26:5; #27:5; #28:1; #29:2; #31:4; #32:2; #33:2; #34:2; #35:1; #36:1; #37:1; #38:4; #39:1; #40:3; #42:5; #43:1; #44:2; #45:4; #46:1; #47:1; #48:1,202,"$640,900 - $843,000"
Important notes,4-room,Malay,"Blk 132A, Blk 134A, Blk 135A, Blk 136A, Blk 137A",#02:22; #03:22; #04:22; #05:14; #06:8; #07:4; #08:7; #09:5; #10:2; #12:5; #13:2; #14:3; #15:1; #16:4; #17:2; #18:1; #19:5; #20:4; #21:4; #22:4; #23:1; #24:7; #25:4; #26:5; #27:5; #28:1; #29:2; #31:4; #32:2; #33:2; #34:2; #35:1; #36:1; #37:1; #38:4; #39:1; #40:3; #42:5; #43:1; #44:2; #45:4; #46:1; #47:1; #48:1,202,"$640,900 - $843,000"
