project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 24A, Blk 24B, Blk 25A",#02:5; #03:5; #04:6; #05:5; #06:4; #07:3; #08:3; #10:1; #13:1; #14:1; #15:1; #16:2; #17:2; #19:1; #20:1; #27:1,42,"$81,800 - $387,500"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 24A, Blk 24B, Blk 25A",#02:5; #03:5; #04:6; #05:5; #06:4; #07:3; #08:3; #10:1; #13:1; #14:1; #15:1; #16:2; #17:2; #19:1; #20:1; #27:1,42,"$81,800 - $387,500"
Important notes,2-room Flexi,Malay,"Blk 24A, Blk 24B, Blk 25A",#02:5; #03:5; #04:6; #05:5; #06:4; #07:3; #08:3; #10:1; #13:1; #14:1; #15:1; #16:2; #17:2; #19:1; #20:1; #27:1,42,"$81,800 - $387,500"
Important notes,3-room,Chinese,"Blk 24A, Blk 25A",#02:2; #03:2; #04:2; #08:1; #10:1; #16:1,9,"$451,100 - $545,600"
Important notes,3-room,Indian/ Other Races,"Blk 24A, Blk 25A",#02:2; #03:2; #04:2; #08:1; #10:1; #16:1,9,"$451,100 - $545,600"
Important notes,3-room,Malay,"Blk 24A, Blk 25A",#02:2; #03:2; #04:2; #08:1; #10:1; #16:1,9,"$451,100 - $545,600"
Important notes,4-room,Chinese,"Blk 24A, Blk 24B, Blk 24C, Blk 25A",#02:12; #07:1; #08:1; #11:1; #12:2; #13:1; #14:2; #15:1; #21:1; #22:1; #24:2,25,"$676,800 - $830,400"
Important notes,4-room,Indian/ Other Races,"Blk 24A, Blk 24B, Blk 24C, Blk 25A",#02:12; #07:1; #08:1; #11:1; #12:2; #13:1; #14:2; #15:1; #21:1; #22:1; #24:2,25,"$676,800 - $830,400"
Important notes,4-room,Malay,"Blk 24A, Blk 24B, Blk 24C, Blk 25A",#02:12; #07:1; #08:1; #11:1; #12:2; #13:1; #14:2; #15:1; #21:1; #22:1; #24:2,25,"$676,800 - $830,400"
