project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 651C,#05:1,1,"$107,000 - $301,900"
Important notes,2-room Flexi,Indian/ Other Races,Blk 651C,#05:1,1,"$107,000 - $301,900"
Important notes,2-room Flexi,Malay,Blk 651C,#05:1,1,"$107,000 - $301,900"
Important notes,3-room,Chinese,Blk 651C,#17:1,1,"$238,000 - $507,400"
Important notes,3-room,Indian/ Other Races,Blk 651C,#17:1,1,"$238,000 - $507,400"
Important notes,3-room,Malay,Blk 651C,#17:1,1,"$238,000 - $507,400"
