project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 499,#06:1; #07:1; #17:1,3,"$59,300 - $130,400"
Important notes,2-room Flexi,Indian/ Other Races,Blk 499,#06:1; #07:1; #17:1,3,"$59,300 - $130,400"
Important notes,2-room Flexi,Malay,Blk 499,#06:1; #07:1; #17:1,3,"$59,300 - $130,400"
