flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 499,Chinese,#06:1; #07:1; #17:1,"$59,300 - $130,400",Important notes
2-room Flexi,Blk 499,Indian/ Other Races,#06:1; #07:1; #17:1,"$59,300 - $130,400",Important notes
2-room Flexi,Blk 499,Malay,#06:1; #07:1; #17:1,"$59,300 - $130,400",Important notes
