flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 27,Indian/ Other Races,#07:1; #14:1,"$107,000 - $346,000",Important notes
2-room Flexi,Blk 27,Malay,#07:1; #14:1,"$107,000 - $346,000",Important notes
