project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Indian/ Other Races,Blk 27,#07:1; #14:1,2,"$107,000 - $346,000"
Important notes,2-room Flexi,Malay,Blk 27,#07:1; #14:1,2,"$107,000 - $346,000"
