flat_type,block,ethnicity,floor_data,price_range,project
4-room,Blk 429B,Chinese,#09:1,"$229,000 - $728,000",Important notes
4-room,Blk 429B,Indian/ Other Races,#09:1,"$229,000 - $728,000",Important notes
4-room,Blk 429B,Malay,#09:1,"$229,000 - $728,000",Important notes
