project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,4-room,Chinese,Blk 668B,#09:1,1,"$394,000 - $519,100"
Important notes,4-room,Indian/ Other Races,Blk 668B,#09:1,1,"$394,000 - $519,100"
Important notes,4-room,Malay,Blk 668B,#09:1,1,"$394,000 - $519,100"
