project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Indian/ Other Races,"Blk 52, Blk 54",#08:1; #21:1,2,"$588,000 - $638,000"
Important notes,3-room,Malay,"Blk 52, Blk 54",#08:1; #21:1,2,"$588,000 - $638,000"
