project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 916A,#13:1,1,"$115,300 - $344,600"
Important notes,2-room Flexi,Indian/ Other Races,Blk 916A,#13:1,1,"$115,300 - $344,600"
Important notes,2-room Flexi,Malay,Blk 916A,#13:1,1,"$115,300 - $344,600"
Important notes,4-room,Chinese,"Blk 915A, Blk 915B, Blk 916B",#05:2; #21:2,4,"$652,200 - $728,000"
Important notes,4-room,Indian/ Other Races,"Blk 915A, Blk 915B, Blk 916B",#05:2; #21:2,4,"$652,200 - $728,000"
Important notes,4-room,Malay,"Blk 915A, Blk 915B, Blk 916B",#05:2; #21:2,4,"$652,200 - $728,000"
