project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 131A,#37:1,1,"$144,600 - $259,500"
Important notes,2-room Flexi,Indian/ Other Races,Blk 131A,#37:1,1,"$144,600 - $259,500"
Important notes,2-room Flexi,Malay,Blk 131A,#37:1,1,"$144,600 - $259,500"
Important notes,3-room,Indian/ Other Races,Blk 131B,#14:1,1,"$173,000 - $638,600"
Important notes,3-room,Malay,Blk 131B,#14:1,1,"$173,000 - $638,600"
