project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 581, Blk 582",#11:1; #14:1,2,"$44,100 - $80,500"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 581, Blk 582",#11:1; #14:1,2,"$44,100 - $80,500"
Important notes,2-room Flexi,Malay,"Blk 581, Blk 582",#11:1; #14:1,2,"$44,100 - $80,500"
