Project Name,Remaining Lease,Probable Completion,2-room Flexi,4-room,Latitude,Longitude,Town,Mode of Sale,URL
Senja Gateway,15 - 45 years,Keys available,1.0,,1.38656225824527,103.757208072494,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjZDMTBfMTc2OTQ4MTAwMDA1Nw
Fajar Spring,15 - 45 years,Keys available,2.0,,1.38450243119902,103.771537431563,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjRDMTdfMTc2OTQ4MTAwMDA1Mw
Segar Vale,15 - 89 years,Keys available,1.0,,1.38853827277489,103.768773256544,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjVDMTNfMTc2ODQ2OTQwMDEyMg
Fajar Rd,62 years,Keys available,,1.0,1.38403200155762,103.770078579177,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjRDMV8xNzY4NDY5NDAwMTA0
Senja Rd,78 years,Keys available,,1.0,1.38663304752484,103.761866185878,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjZDOF8xNzY4NDY5NDAwMDk5
Segar Grove,88 years,Keys available,,1.0,1.38868132378093,103.771312569429,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjRDMTRfMTc2ODQ2OTQwMDEyNw
Senja Parc View,89 years,Keys available,,1.0,1.38743454593269,103.759118571415,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjZDMTFfMTc2ODQ2OTQwMDEwMQ
Petir Park Edge,15 - 99 years,3Q/2028,2.0,3.0,1.37472527321707,103.768051234713,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjFDMTRfMTc2ODQ2OTQwMDEyMw
