Project Name,Remaining Lease,Probable Completion,3-room,4-room,Latitude,Longitude,Town,Mode of Sale,URL
Zhujiao Centre (Tekka Market),56 years,Keys available,,1.0,1.30624722914968,103.849956033902,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjVDMF8xNzY4NTQ4NjAwMDA3
Tg Pagar Plaza,51 years,Keys available,1.0,,1.27515497722604,103.842393163272,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjNDMV8xNzY4NTQ4NjAwMDAz
Waterloo Centre,52 years,Keys available,1.0,,1.29869445251522,103.852082013485,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjRDMWFfMTc2ODU1NTgwMDAyMQ
Bras Basah Complex,54 years,Keys available,,1.0,1.29681525928856,103.853619482206,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjRDMWJfMTc2ODU1NTgwMDAyMQ
Cheng Yan Court,58 years,Keys available,,1.0,1.30035670883376,103.853466360307,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjRDMF8xNzY4NTQ4NjAwMDEy
River Peaks I & II - Prime,99 years,2Q/2028,61.0,85.0,1.30518692247865,103.856145485985,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjVDNy1DOF8xNzY4NTQ4NjAwMDM1
