Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL
Tampines Greencourt,15 - 97 years,Keys available,1.0,,1.0,,1.36492822101013,103.940418416846,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX042QzEzXzE3Njg1MjcwMDAwOTE
Sun Plaza Spring,99 years,2Q/2026,,,1.0,,1.3585795422464,103.949531894985,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX040QzI5XzE3Njg1MjcwMDAxMDA
Tampines Greenweave,15 - 94 years,Keys available,1.0,,1.0,,1.36314791550448,103.93511840985,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX042QzJBXzE3Njg1MjcwMDAwNzM
Tampines Greenridges,94 years,Keys available,,,2.0,,1.36075948651835,103.936832524812,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX042QzFBXzE3Njg1MjcwMDAwNTA
Tampines Greenemerald,15 - 99 years,Keys available,1.0,,6.0,,1.33903614792313,103.936772206637,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX045QzEzXzE3Njg1MjcwMDAwNjU
Tampines Green Vale,71 years,Keys available,,,1.0,1.0,1.35958874830961,103.933361011699,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX043QzhfMTc2ODUyNzAwMDA0OQ
Tampines Palmspring,58 years,Keys available,,,,1.0,1.34524172287507,103.939098694607,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX045QzFfMTc2ODUyNzAwMDEwMg
Tampines Greenverge,95 - 96 years,Keys available,,,1.0,1.0,1.36269737798724,103.940131457766,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX042QzhfMTc2ODUyNzAwMDAwNg
Tampines Greenopal,99 years,Keys available,,1.0,4.0,6.0,1.33816794871959,103.938068396211,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX045QzE1XzE3Njg1MjcwMDAwNjc
Tampines Greenquartz,15 - 99 years,Now to 2Q/2026,2.0,1.0,5.0,6.0,1.34061465956408,103.939271506884,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX045QzEwXzE3Njg1MjcwMDAwOTU
Tampines Greentopaz,15 - 99 years,2Q/2028,3.0,,6.0,4.0,1.34441343800594,103.940101450397,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX045QzIwXzE3Njg1MjcwMDAwNzE
Tampines Greenjade,99 years,Keys available,,,7.0,3.0,1.34141385360771,103.935349112073,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX045QzE5XzE3Njg1MjcwMDAxMDg
