project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Indian/ Other Races,Blk 80B,#13:1,1,"$91,300 - $163,900"
Important notes,2-room Flexi,Malay,Blk 80B,#13:1,1,"$91,300 - $163,900"
