flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 196,Chinese,#02:1; #10:1; #25:1,"$94,200 - $187,900",Important notes
2-room Flexi,Blk 196,Indian/ Other Races,#02:1; #10:1; #25:1,"$94,200 - $187,900",Important notes
2-room Flexi,Blk 196,Malay,#02:1; #10:1; #25:1,"$94,200 - $187,900",Important notes
