project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 196,#02:1; #10:1; #25:1,3,"$94,200 - $187,900"
Important notes,2-room Flexi,Indian/ Other Races,Blk 196,#02:1; #10:1; #25:1,3,"$94,200 - $187,900"
Important notes,2-room Flexi,Malay,Blk 196,#02:1; #10:1; #25:1,3,"$94,200 - $187,900"
