flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 677A,Chinese,#11:1,"$55,000 - $130,900",Important notes
2-room Flexi,Blk 677B,Chinese,#08:1; #10:1; #17:1,"$55,000 - $130,900",Important notes
2-room Flexi,Blk 677A,Indian/ Other Races,#11:1,"$55,000 - $130,900",Important notes
2-room Flexi,Blk 677B,Indian/ Other Races,#08:1; #10:1; #17:1,"$55,000 - $130,900",Important notes
2-room Flexi,Blk 677A,Malay,#11:1,"$55,000 - $130,900",Important notes
2-room Flexi,Blk 677B,Malay,#08:1; #10:1; #17:1,"$55,000 - $130,900",Important notes
