project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 677A, Blk 677B",#08:1; #10:1; #11:1; #17:1,4,"$55,000 - $130,900"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 677A, Blk 677B",#08:1; #10:1; #11:1; #17:1,4,"$55,000 - $130,900"
Important notes,2-room Flexi,Malay,"Blk 677A, Blk 677B",#08:1; #10:1; #11:1; #17:1,4,"$55,000 - $130,900"
