flat_type,block,ethnicity,floor_data,price_range,project
4-room,Blk 641A,Chinese,#10:1,"$349,000 - $631,800",Important notes
4-room,Blk 641A,Indian/ Other Races,#10:1,"$349,000 - $631,800",Important notes
4-room,Blk 641A,Malay,#10:1,"$349,000 - $631,800",Important notes
