project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 827A,#07:1; #13:1,2,"$52,800 - $126,400"
Important notes,2-room Flexi,Indian/ Other Races,Blk 827A,#07:1; #13:1,2,"$52,800 - $126,400"
Important notes,2-room Flexi,Malay,Blk 827A,#07:1; #13:1,2,"$52,800 - $126,400"
