flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 827A,Chinese,#07:1; #13:1,"$52,800 - $126,400",Important notes
2-room Flexi,Blk 827A,Indian/ Other Races,#07:1; #13:1,"$52,800 - $126,400",Important notes
2-room Flexi,Blk 827A,Malay,#07:1; #13:1,"$52,800 - $126,400",Important notes
