flat_type,block,ethnicity,floor_data,price_range,project
4-room,Blk 153A,Chinese,#05:1; #18:1; #21:1,"$755,900 - $809,800",Important notes
4-room,Blk 153A,Indian/ Other Races,#05:1; #18:1; #21:1,"$755,900 - $809,800",Important notes
4-room,Blk 153A,Malay,#05:1; #18:1; #21:1,"$755,900 - $809,800",Important notes
