project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,"Blk 95A, Blk 95B",#12:1; #15:1; #16:1,3,"$641,200 - $649,600"
Important notes,3-room,Indian/ Other Races,"Blk 95A, Blk 95B",#12:1; #15:1; #16:1,3,"$641,200 - $649,600"
Important notes,3-room,Malay,"Blk 95A, Blk 95B",#12:1; #15:1; #16:1,3,"$641,200 - $649,600"
Important notes,4-room,Chinese,"Blk 95A, Blk 95C, Blk 97A, Blk 97B",#02:1; #04:2; #07:1; #09:1; #10:2; #11:1; #12:1; #18:1; #19:1,11,"$814,300 - $895,100"
Important notes,4-room,Indian/ Other Races,"Blk 95A, Blk 95C, Blk 97A, Blk 97B",#02:1; #04:2; #07:1; #09:1; #10:2; #11:1; #12:1; #18:1; #19:1,11,"$814,300 - $895,100"
Important notes,4-room,Malay,"Blk 95A, Blk 95C, Blk 97A, Blk 97B",#02:1; #04:2; #07:1; #09:1; #10:2; #11:1; #12:1; #18:1; #19:1,11,"$814,300 - $895,100"
