project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Indian/ Other Races,Blk 6,#06:1,1,"$168,000 - $638,500"
Important notes,3-room,Malay,Blk 6,#06:1,1,"$168,000 - $638,500"
