project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 327A,#05:1; #11:1,2,"$55,900 - $129,500"
Important notes,2-room Flexi,Indian/ Other Races,Blk 327A,#05:1; #11:1,2,"$55,900 - $129,500"
Important notes,2-room Flexi,Malay,Blk 327A,#05:1; #11:1,2,"$55,900 - $129,500"
