project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,4-room,Chinese,Blk 153A,#05:1; #18:1; #21:1,3,"$755,900 - $809,800"
Important notes,4-room,Indian/ Other Races,Blk 153A,#05:1; #18:1; #21:1,3,"$755,900 - $809,800"
Important notes,4-room,Malay,Blk 153A,#05:1; #18:1; #21:1,3,"$755,900 - $809,800"
