project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,Blk 47A,#07:1,1,"$178,000 - $467,100"
Important notes,3-room,Indian/ Other Races,Blk 47A,#07:1,1,"$178,000 - $467,100"
Important notes,3-room,Malay,Blk 47A,#07:1,1,"$178,000 - $467,100"
Important notes,4-room,Chinese,"Blk 46A, Blk 46B, Blk 47A, Blk 47C, Blk 48A",#07:1; #08:1; #14:1; #17:1; #18:2,6,"$618,300 - $694,700"
Important notes,4-room,Indian/ Other Races,"Blk 46A, Blk 46B, Blk 47A, Blk 47C, Blk 48A",#07:1; #08:1; #14:1; #17:1; #18:2,6,"$618,300 - $694,700"
Important notes,4-room,Malay,"Blk 46A, Blk 46B, Blk 47A, Blk 47C, Blk 48A",#07:1; #08:1; #14:1; #17:1; #18:2,6,"$618,300 - $694,700"
Important notes,5-room,Chinese,"Blk 46A, Blk 47A, Blk 48B",#05:1; #08:1; #11:1; #17:1; #20:2,6,"$831,200 - $894,300"
Important notes,5-room,Indian/ Other Races,"Blk 46A, Blk 47A, Blk 48B",#05:1; #08:1; #11:1; #17:1; #20:2,6,"$831,200 - $894,300"
Important notes,5-room,Malay,"Blk 46A, Blk 47A, Blk 48B",#05:1; #08:1; #11:1; #17:1; #20:2,6,"$831,200 - $894,300"
