flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 230A,Chinese,#07:1; #16:1,"$48,100 - $93,600",Important notes
2-room Flexi,Blk 230A,Indian/ Other Races,#07:1; #16:1,"$48,100 - $93,600",Important notes
2-room Flexi,Blk 230A,Malay,#07:1; #16:1,"$48,100 - $93,600",Important notes
