project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 230A,#07:1; #16:1,2,"$48,100 - $93,600"
Important notes,2-room Flexi,Indian/ Other Races,Blk 230A,#07:1; #16:1,2,"$48,100 - $93,600"
Important notes,2-room Flexi,Malay,Blk 230A,#07:1; #16:1,2,"$48,100 - $93,600"
