flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 465A,Chinese,#08:1,"$48,700 - $174,000",Important notes
2-room Flexi,Blk 465B,Chinese,#07:1,"$48,700 - $174,000",Important notes
2-room Flexi,Blk 465A,Indian/ Other Races,#08:1,"$48,700 - $174,000",Important notes
2-room Flexi,Blk 465B,Indian/ Other Races,#07:1,"$48,700 - $174,000",Important notes
2-room Flexi,Blk 465A,Malay,#08:1,"$48,700 - $174,000",Important notes
2-room Flexi,Blk 465B,Malay,#07:1,"$48,700 - $174,000",Important notes
5-room,Blk 467A,Chinese,#04:1,"$471,900 - $570,600",Important notes
5-room,Blk 467A,Indian/ Other Races,#04:1,"$471,900 - $570,600",Important notes
5-room,Blk 467A,Malay,#04:1,"$471,900 - $570,600",Important notes
