flat_type,block,ethnicity,floor_data,price_range,project
4-room,Blk 220B,Chinese,#07:1; #08:1,"$475,600 - $479,300",Important notes
4-room,Blk 220B,Indian/ Other Races,#07:1; #08:1,"$475,600 - $479,300",Important notes
4-room,Blk 220B,Malay,#07:1; #08:1,"$475,600 - $479,300",Important notes
