flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 55,Chinese,#04:1,"$168,000 - $638,500",Important notes
3-room,Blk 55,Indian/ Other Races,#04:1,"$168,000 - $638,500",Important notes
3-room,Blk 55,Malay,#04:1,"$168,000 - $638,500",Important notes
