project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 547A,#06:1,1,"$83,300 - $248,000"
Important notes,2-room Flexi,Indian/ Other Races,Blk 547A,#06:1,1,"$83,300 - $248,000"
Important notes,2-room Flexi,Malay,Blk 547A,#06:1,1,"$83,300 - $248,000"
