project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,"Blk 74, Blk 76, Blk 77",#05:1; #09:1; #10:1; #11:1,4,"$213,000 - $263,000"
Important notes,3-room,Indian/ Other Races,"Blk 74, Blk 76, Blk 77",#05:1; #09:1; #10:1; #11:1,4,"$213,000 - $263,000"
Important notes,3-room,Malay,"Blk 74, Blk 76, Blk 77",#05:1; #09:1; #10:1; #11:1,4,"$213,000 - $263,000"
