project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 459B,#06:1,1,"$73,100 - $218,000"
Important notes,2-room Flexi,Indian/ Other Races,Blk 459B,#06:1,1,"$73,100 - $218,000"
Important notes,2-room Flexi,Malay,Blk 459B,#06:1,1,"$73,100 - $218,000"
