project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 55A,#02:1; #30:1,2,"$112,700 - $401,600"
Important notes,2-room Flexi,Indian/ Other Races,Blk 55A,#02:1; #30:1,2,"$112,700 - $401,600"
Important notes,2-room Flexi,Malay,Blk 55A,#02:1; #30:1,2,"$112,700 - $401,600"
