project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 591B,#12:1,1,"$63,400 - $184,200"
Important notes,2-room Flexi,Indian/ Other Races,Blk 591B,#12:1,1,"$63,400 - $184,200"
Important notes,2-room Flexi,Malay,Blk 591B,#12:1,1,"$63,400 - $184,200"
Important notes,4-room,Chinese,Blk 590A,#08:1,1,"$269,000 - $519,400"
Important notes,4-room,Indian/ Other Races,Blk 590A,#08:1,1,"$269,000 - $519,400"
Important notes,4-room,Malay,Blk 590A,#08:1,1,"$269,000 - $519,400"
