flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 118,Chinese,#06:1; #11:1; #12:1; #15:1,"$83,700 - $154,400",Important notes
2-room Flexi,Blk 118,Indian/ Other Races,#06:1; #11:1; #12:1; #15:1,"$83,700 - $154,400",Important notes
2-room Flexi,Blk 118,Malay,#06:1; #11:1; #12:1; #15:1,"$83,700 - $154,400",Important notes
