project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 118,#06:1; #11:1; #12:1; #15:1,4,"$83,700 - $154,400"
Important notes,2-room Flexi,Indian/ Other Races,Blk 118,#06:1; #11:1; #12:1; #15:1,4,"$83,700 - $154,400"
Important notes,2-room Flexi,Malay,Blk 118,#06:1; #11:1; #12:1; #15:1,4,"$83,700 - $154,400"
