flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 21,Chinese,#03:1; #04:1; #08:1; #11:1; #13:1,"$73,900 - $182,900",Important notes
2-room Flexi,Blk 21,Indian/ Other Races,#03:1; #04:1; #08:1; #11:1; #13:1,"$73,900 - $182,900",Important notes
2-room Flexi,Blk 21,Malay,#03:1; #04:1; #08:1; #11:1; #13:1,"$73,900 - $182,900",Important notes
