flat_type,block,ethnicity,floor_data,price_range,project
4-room,Blk 618D,Chinese,#14:1,"$394,000 - $519,100",Important notes
4-room,Blk 618D,Indian/ Other Races,#14:1,"$394,000 - $519,100",Important notes
4-room,Blk 618D,Malay,#14:1,"$394,000 - $519,100",Important notes
