flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 636A,Chinese,#10:1,"$92,300 - $269,600",Important notes
2-room Flexi,Blk 636A,Indian/ Other Races,#10:1,"$92,300 - $269,600",Important notes
2-room Flexi,Blk 636A,Malay,#10:1,"$92,300 - $269,600",Important notes
4-room,Blk 630B,Chinese,#13:1,"$349,000 - $631,800",Important notes
4-room,Blk 630B,Indian/ Other Races,#13:1,"$349,000 - $631,800",Important notes
4-room,Blk 630B,Malay,#13:1,"$349,000 - $631,800",Important notes
