project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 211C, Blk 211D",#15:1; #16:1,2,"$65,400 - $149,100"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 211C, Blk 211D",#15:1; #16:1,2,"$65,400 - $149,100"
Important notes,2-room Flexi,Malay,"Blk 211C, Blk 211D",#15:1; #16:1,2,"$65,400 - $149,100"
