project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,Blk 1,#08:1; #09:1,2,"$208,000 - $213,000"
Important notes,3-room,Indian/ Other Races,Blk 1,#08:1; #09:1,2,"$208,000 - $213,000"
Important notes,3-room,Malay,Blk 1,#08:1; #09:1,2,"$208,000 - $213,000"
