flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 1,Chinese,#08:1; #09:1,"$208,000 - $213,000",Important notes
3-room,Blk 1,Indian/ Other Races,#08:1; #09:1,"$208,000 - $213,000",Important notes
3-room,Blk 1,Malay,#08:1; #09:1,"$208,000 - $213,000",Important notes
