flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 936A,Chinese,#07:1; #08:1,"$79,100 - $245,000",Important notes
2-room Flexi,Blk 936A,Indian/ Other Races,#07:1; #08:1,"$79,100 - $245,000",Important notes
2-room Flexi,Blk 936A,Malay,#07:1; #08:1,"$79,100 - $245,000",Important notes
