project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 936A,#07:1; #08:1,2,"$79,100 - $245,000"
Important notes,2-room Flexi,Indian/ Other Races,Blk 936A,#07:1; #08:1,2,"$79,100 - $245,000"
Important notes,2-room Flexi,Malay,Blk 936A,#07:1; #08:1,2,"$79,100 - $245,000"
