project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 222B,#09:1; #13:1,2,"$114,300 - $343,000"
Important notes,2-room Flexi,Indian/ Other Races,Blk 222B,#09:1; #13:1,2,"$114,300 - $343,000"
Important notes,2-room Flexi,Malay,Blk 222B,#09:1; #13:1,2,"$114,300 - $343,000"
