flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 222B,Chinese,#09:1; #13:1,"$114,300 - $343,000",Important notes
2-room Flexi,Blk 222B,Indian/ Other Races,#09:1; #13:1,"$114,300 - $343,000",Important notes
2-room Flexi,Blk 222B,Malay,#09:1; #13:1,"$114,300 - $343,000",Important notes
