project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,4-room,Chinese,"Blk 660B, Blk 660C",#02:1; #05:1,2,"$482,600 - $499,100"
Important notes,4-room,Indian/ Other Races,"Blk 660B, Blk 660C",#02:1; #05:1,2,"$482,600 - $499,100"
Important notes,4-room,Malay,"Blk 660B, Blk 660C",#02:1; #05:1,2,"$482,600 - $499,100"
