flat_type,block,ethnicity,floor_data,price_range,project
4-room,Blk 660B,Chinese,#02:1,"$482,600 - $499,100",Important notes
4-room,Blk 660C,Chinese,#05:1,"$482,600 - $499,100",Important notes
4-room,Blk 660B,Indian/ Other Races,#02:1,"$482,600 - $499,100",Important notes
4-room,Blk 660C,Indian/ Other Races,#05:1,"$482,600 - $499,100",Important notes
4-room,Blk 660B,Malay,#02:1,"$482,600 - $499,100",Important notes
4-room,Blk 660C,Malay,#05:1,"$482,600 - $499,100",Important notes
