project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,Blk 119,#05:1; #07:1,2,"$163,000 - $168,000"
Important notes,3-room,Indian/ Other Races,Blk 119,#05:1; #07:1,2,"$163,000 - $168,000"
