flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 119,Chinese,#05:1; #07:1,"$163,000 - $168,000",Important notes
3-room,Blk 119,Indian/ Other Races,#05:1; #07:1,"$163,000 - $168,000",Important notes
