flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 868C,Chinese,#15:1,"$66,300 - $119,000",Important notes
2-room Flexi,Blk 868C,Indian/ Other Races,#15:1,"$66,300 - $119,000",Important notes
