project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 780B, Blk 780F",#05:1; #09:1,2,"$69,000 - $216,000"
Important notes,2-room Flexi,Malay,"Blk 780B, Blk 780F",#05:1; #09:1,2,"$69,000 - $216,000"
