flat_type,block,ethnicity,floor_data,price_range,project
5-room,Blk 110,Chinese,#06:1,"$411,000 - $636,700",Important notes
5-room,Blk 110,Indian/ Other Races,#06:1,"$411,000 - $636,700",Important notes
5-room,Blk 110,Malay,#06:1,"$411,000 - $636,700",Important notes
