flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 994A,Chinese,#08:1,"$60,800 - $181,200",Important notes
2-room Flexi,Blk 994A,Indian/ Other Races,#08:1,"$60,800 - $181,200",Important notes
2-room Flexi,Blk 994A,Malay,#08:1,"$60,800 - $181,200",Important notes
